date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:28:27	16242/16242	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2002:28:25%20GMT	https://efirma.morelos.gob.mx/ValidacionFirma?uuid=2803d557-44c4-47dd-ad6f-1f177418a14a	C:/Mis%20lugares%20Web/morelos/efirma.morelos.gob.mx/ValidacionFirma2274.html	(from )
20:28:27	4544/4544	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Jul%202025%2002:28:25%20GMT	https://efirma.morelos.gob.mx/robots.txt		(from )
20:28:27	351087/351087	---M--	200	added ('OK')	image/png	etag:W/%22351087-1741299750000%22	https://efirma.morelos.gob.mx/img/icono_new.png	C:/Mis%20lugares%20Web/morelos/efirma.morelos.gob.mx/img/icono_new.png	(from https://efirma.morelos.gob.mx/ValidacionFirma?uuid=2803d557-44c4-47dd-ad6f-1f177418a14a)
20:28:27	159515/159515	---M-Z	200	added ('OK')	text/css	etag:%2226f1b-5bf9f335e8ef9-gzip%22	https://lib.morelos.gob.mx/bootstrap-4.4.1/css/bootstrap.min.css	C:/Mis%20lugares%20Web/morelos/lib.morelos.gob.mx/bootstrap-4.4.1/css/bootstrap.min.css	(from https://efirma.morelos.gob.mx/ValidacionFirma?uuid=2803d557-44c4-47dd-ad6f-1f177418a14a)
20:28:27	54456/54456	---M-Z	200	added ('OK')	text/css	etag:%22d4b8-5bf9f339b59bb-gzip%22	https://lib.morelos.gob.mx/fontawesome/css/all5.7.2.css	C:/Mis%20lugares%20Web/morelos/lib.morelos.gob.mx/fontawesome/css/all5.7.2.css	(from https://efirma.morelos.gob.mx/ValidacionFirma?uuid=2803d557-44c4-47dd-ad6f-1f177418a14a)
20:28:28	3555/3555	---M-Z	200	added ('OK')	text/css	etag:W/%223555-1741299750000-gzip%22	https://efirma.morelos.gob.mx/css/layout.css?v=250225	C:/Mis%20lugares%20Web/morelos/efirma.morelos.gob.mx/css/layout5449.css	(from https://efirma.morelos.gob.mx/ValidacionFirma?uuid=2803d557-44c4-47dd-ad6f-1f177418a14a)
20:28:28	222734/222734	---MCZ	200	added ('OK')	text/css	etag:W/%22222734-1741299750000-gzip%22	https://efirma.morelos.gob.mx/css/style.css?v=250225	C:/Mis%20lugares%20Web/morelos/efirma.morelos.gob.mx/css/style5449.css	(from https://efirma.morelos.gob.mx/ValidacionFirma?uuid=2803d557-44c4-47dd-ad6f-1f177418a14a)
20:28:28	11295/11295	---M-Z	200	added ('OK')	text/css	etag:W/%2211295-1741299750000-gzip%22	https://efirma.morelos.gob.mx/css/custom.css?v=250225	C:/Mis%20lugares%20Web/morelos/efirma.morelos.gob.mx/css/custom5449.css	(from https://efirma.morelos.gob.mx/ValidacionFirma?uuid=2803d557-44c4-47dd-ad6f-1f177418a14a)
20:28:28	16183/16183	---M-Z	200	added ('OK')	text/css	etag:W/%2216183-1741299750000-gzip%22	https://efirma.morelos.gob.mx/css/principal.css?v=250225	C:/Mis%20lugares%20Web/morelos/efirma.morelos.gob.mx/css/principal5449.css	(from https://efirma.morelos.gob.mx/ValidacionFirma?uuid=2803d557-44c4-47dd-ad6f-1f177418a14a)
20:28:29	6978/6978	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2002:28:26%20GMT	https://efirma.morelos.gob.mx/inicio	C:/Mis%20lugares%20Web/morelos/efirma.morelos.gob.mx/inicio.html	(from https://efirma.morelos.gob.mx/ValidacionFirma?uuid=2803d557-44c4-47dd-ad6f-1f177418a14a)
20:28:29	62686/62686	---M--	200	added ('OK')	image/svg+xml	etag:W/%2262686-1741299750000%22	https://efirma.morelos.gob.mx/img/Logo-principal-e-firma.svg	C:/Mis%20lugares%20Web/morelos/efirma.morelos.gob.mx/img/Logo-principal-e-firma.svg	(from https://efirma.morelos.gob.mx/ValidacionFirma?uuid=2803d557-44c4-47dd-ad6f-1f177418a14a)
20:28:29	29066/29066	---M--	200	added ('OK')	image/png	etag:W/%2229066-1741299750000%22	https://efirma.morelos.gob.mx/img/cenefa.png	C:/Mis%20lugares%20Web/morelos/efirma.morelos.gob.mx/img/cenefa.png	(from https://efirma.morelos.gob.mx/ValidacionFirma?uuid=2803d557-44c4-47dd-ad6f-1f177418a14a)
20:28:29	86596/86596	---M-Z	200	added ('OK')	application/javascript	etag:%2215244-5bf9f3357d832-gzip%22	https://lib.morelos.gob.mx/JQuery/jquery-3.2.0.min.js	C:/Mis%20lugares%20Web/morelos/lib.morelos.gob.mx/JQuery/jquery-3.2.0.min.js	(from https://efirma.morelos.gob.mx/ValidacionFirma?uuid=2803d557-44c4-47dd-ad6f-1f177418a14a)
20:28:29	21257/21257	---M-Z	200	added ('OK')	application/javascript	etag:%225309-5bf9f335f0bf9-gzip%22	https://lib.morelos.gob.mx/bootstrap-4.4.1/popper/popper.min.js	C:/Mis%20lugares%20Web/morelos/lib.morelos.gob.mx/bootstrap-4.4.1/popper/popper.min.js	(from https://efirma.morelos.gob.mx/ValidacionFirma?uuid=2803d557-44c4-47dd-ad6f-1f177418a14a)
20:28:30	60010/60010	---M-Z	200	added ('OK')	application/javascript	etag:%22ea6a-5bf9f335dd378-gzip%22	https://lib.morelos.gob.mx/bootstrap-4.4.1/js/bootstrap.min.js	C:/Mis%20lugares%20Web/morelos/lib.morelos.gob.mx/bootstrap-4.4.1/js/bootstrap.min.js	(from https://efirma.morelos.gob.mx/ValidacionFirma?uuid=2803d557-44c4-47dd-ad6f-1f177418a14a)
20:28:30	4544/4544	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Jul%202025%2002:28:28%20GMT	https://efirma.morelos.gob.mx/css/fonts/TwogetherSansVariable.ttf	C:/Mis%20lugares%20Web/morelos/efirma.morelos.gob.mx/css/fonts/TwogetherSansVariable.ttf	(from https://efirma.morelos.gob.mx/css/layout.css?v=250225)
20:28:30	4544/4544	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Jul%202025%2002:28:28%20GMT	https://efirma.morelos.gob.mx/images/samples/Login_bg.jpg	C:/Mis%20lugares%20Web/morelos/efirma.morelos.gob.mx/images/samples/Login_bg.jpg	(from https://efirma.morelos.gob.mx/css/style.css?v=250225)
20:28:31	4544/4544	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Jul%202025%2002:28:28%20GMT	https://efirma.morelos.gob.mx/images/samples/Login_bg2.jpg	C:/Mis%20lugares%20Web/morelos/efirma.morelos.gob.mx/images/samples/Login_bg2.jpg	(from https://efirma.morelos.gob.mx/css/style.css?v=250225)
20:28:31	10422/10422	---M--	200	added ('OK')	image/png	etag:W/%2210422-1741299750000%22	https://efirma.morelos.gob.mx/img/pleca_titulo_izq.png	C:/Mis%20lugares%20Web/morelos/efirma.morelos.gob.mx/img/pleca_titulo_izq.png	(from https://efirma.morelos.gob.mx/css/style.css?v=250225)
20:28:31	10356/10356	---M--	200	added ('OK')	image/png	etag:W/%2210356-1741299750000%22	https://efirma.morelos.gob.mx/img/pleca_titulo_der.png	C:/Mis%20lugares%20Web/morelos/efirma.morelos.gob.mx/img/pleca_titulo_der.png	(from https://efirma.morelos.gob.mx/css/style.css?v=250225)
20:28:31	493471/493471	---M--	200	added ('OK')	image/png	etag:W/%22493471-1741299750000%22	https://efirma.morelos.gob.mx/img/mask.png	C:/Mis%20lugares%20Web/morelos/efirma.morelos.gob.mx/img/mask.png	(from https://efirma.morelos.gob.mx/css/style.css?v=250225)
20:28:32	24870/24870	---M-Z	200	added ('OK')	text/css	etag:%226126-5bf9f33584592-gzip%22	https://lib.morelos.gob.mx/SweetAlert2/v9.17.1/sweetalert2.min.css	C:/Mis%20lugares%20Web/morelos/lib.morelos.gob.mx/SweetAlert2/v9.17.1/sweetalert2.min.css	(from https://efirma.morelos.gob.mx/inicio)
20:28:32	6167/6167	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2002:28:29%20GMT	https://efirma.morelos.gob.mx/recuperacion	C:/Mis%20lugares%20Web/morelos/efirma.morelos.gob.mx/recuperacion.html	(from https://efirma.morelos.gob.mx/inicio)
20:28:32	2282237/2282237	---M--	200	added ('OK')	image/png	etag:W/%222282237-1741299750000%22	https://efirma.morelos.gob.mx/img/fondo_pagina.png	C:/Mis%20lugares%20Web/morelos/efirma.morelos.gob.mx/img/fondo_pagina.png	(from https://efirma.morelos.gob.mx/css/principal.css?v=250225)
20:28:32	5896/5896	---M--	200	added ('OK')	image/svg+xml	etag:W/%225896-1741299750000%22	https://efirma.morelos.gob.mx/img/e-firma%201.svg	C:/Mis%20lugares%20Web/morelos/efirma.morelos.gob.mx/img/e-firma%201.svg	(from https://efirma.morelos.gob.mx/inicio)
20:28:32	41937/41937	---M-Z	200	added ('OK')	application/javascript	etag:%22a3d1-5bf9f33585532-gzip%22	https://lib.morelos.gob.mx/SweetAlert2/v9.17.1/sweetalert2.min.js	C:/Mis%20lugares%20Web/morelos/lib.morelos.gob.mx/SweetAlert2/v9.17.1/sweetalert2.min.js	(from https://efirma.morelos.gob.mx/inicio)
20:28:33	48559/48559	---M-Z	200	added ('OK')	application/javascript	etag:W/%2248559-1743176694000-gzip%22	https://efirma.morelos.gob.mx/js/sesion.js?v=250225	C:/Mis%20lugares%20Web/morelos/efirma.morelos.gob.mx/js/sesion5449.js	(from https://efirma.morelos.gob.mx/inicio)
